Date,RT_Demand,DA_Demand,RT_LMP,Dry_Bulb,Dew_Point
1-Jan-16,11513.9,11565.40 ,33.72,37,26
1-Jan-16,10964.35,11352.80 ,35.65,37,25
1-Jan-16,10574.45,11138.60 ,30.97,37,25
1-Jan-16,10385.9,11045.60 ,18.73,36,25
1-Jan-16,10421.39,11140.50 ,9.01,35,25
1-Jan-16,10720.21,11398.10 ,18.28,36,25
1-Jan-16,11183.82,11683.70 ,31.24,35,25
1-Jan-16,11554.84,12138.40 ,15.23,35,25
1-Jan-16,12111.22,12665.50 ,26.52,35,25
1-Jan-16,12803.5,13283.70 ,29.45,36,25
1-Jan-16,13261.25,13704.90 ,25.37,37,25
1-Jan-16,13548.1,13705.00 ,34.70,38,25
1-Jan-16,13733.21,13493.30 ,35.77,39,25
1-Jan-16,13793.46,13333.60 ,39.38,38,24
1-Jan-16,13811.06,13277.90 ,36.47,39,24
1-Jan-16,14051.97,13574.30 ,35.45,38,24
1-Jan-16,15007.56,15067.60 ,36.25,38,23
1-Jan-16,15727.38,15970.40 ,36.36,37,24
1-Jan-16,15511.83,15625.90 ,49.89,36,24
1-Jan-16,15103.22,15209.30 ,35.51,35,24
1-Jan-16,14642.16,14559.20 ,37.10,34,23
1-Jan-16,13968.64,13709.50 ,40.71,33,22
1-Jan-16,13083.42,12739.80 ,8.07,33,21
1-Jan-16,12162.75,11836.70 ,39.50,31,20
2-Jan-16,11431.14,11011.10 ,28.24,31,19
2-Jan-16,11013.8,10861.70 ,43.67,30,18
2-Jan-16,10785.6,10759.60 ,40.21,30,18
2-Jan-16,10735.56,10593.90 ,104.74,30,18
2-Jan-16,10824.69,10751.60 ,101.47,30,18
2-Jan-16,11252.36,11290.10 ,89.09,29,18
2-Jan-16,11930.47,11693.50 ,72.01,30,18
2-Jan-16,12557.7,12522.90 ,36.11,29,18
2-Jan-16,13266.65,13405.90 ,39.64,29,18
2-Jan-16,13715.69,13976.40 ,37.79,31,19
2-Jan-16,13901.51,14216.60 ,31.05,33,18
2-Jan-16,13883.44,14184.40 ,31.41,34,18
2-Jan-16,13787.64,13994.20 ,27.45,36,18
2-Jan-16,13649.29,13783.10 ,25.14,36,18
2-Jan-16,13655,13695.60 ,25.21,37,17
2-Jan-16,13926.49,13889.10 ,24.72,37,18
2-Jan-16,14992.92,15128.70 ,34.89,35,18
2-Jan-16,15973.87,16107.30 ,57.06,34,19
2-Jan-16,15847.55,15817.70 ,62.37,34,19
2-Jan-16,15437.57,15352.30 ,45.68,34,19
2-Jan-16,14983.23,14811.60 ,41.08,33,20
2-Jan-16,14289.29,13923.50 ,47.72,33,19
2-Jan-16,13379.07,12942.90 ,51.45,33,19
2-Jan-16,12437.44,11904.80 ,39.12,33,20
3-Jan-16,11646.84,11439.10 ,27.85,33,20
3-Jan-16,11142.86,11365.10 ,24.63,32,20
3-Jan-16,10873.13,11073.50 ,28.48,31,20
3-Jan-16,10781.18,11080.90 ,25.46,30,20
3-Jan-16,10839.05,11189.10 ,25.81,30,20
3-Jan-16,11112.34,11292.00 ,28.71,30,20
3-Jan-16,11622.94,11618.00 ,27.17,30,20
3-Jan-16,12165.82,12200.00 ,30.09,29,21
3-Jan-16,12831,13293.00 ,27.49,30,22
3-Jan-16,13296.06,13831.40 ,24.42,33,22
3-Jan-16,13492.09,13897.90 ,25.27,36,23
3-Jan-16,13670.08,13813.10 ,28.48,39,22
3-Jan-16,13791.08,13738.70 ,31.41,40,23
3-Jan-16,13739.92,13392.70 ,30.78,40,22
3-Jan-16,13714.35,13367.20 ,26.04,41,22
3-Jan-16,13928.19,13688.70 ,26.31,41,23
3-Jan-16,15150.48,14890.00 ,31.47,39,23
3-Jan-16,16299.93,16382.10 ,39.07,38,23
3-Jan-16,16211.82,16002.40 ,39.52,37,23
3-Jan-16,15784.25,15610.50 ,32.88,36,23
3-Jan-16,15209.78,15055.90 ,35.82,35,23
3-Jan-16,14186.04,13982.00 ,29.78,33,24
3-Jan-16,13046.84,12680.80 ,17.73,33,23
3-Jan-16,12025.94,11698.00 ,0.00,32,23
4-Jan-16,11386.85,11663.30 ,30.19,31,23
4-Jan-16,11061.36,11574.40 ,-32.08,30,23
4-Jan-16,10960.52,11436.00 ,-17.05,30,22
4-Jan-16,11064.42,11489.80 ,5.82,30,21
4-Jan-16,11502.53,11697.20 ,15.21,29,20
4-Jan-16,12699.45,12780.90 ,-37.15,28,18
4-Jan-16,14690.46,14755.70 ,34.13,28,17
4-Jan-16,15832.95,16313.70 ,33.35,26,15
4-Jan-16,16089.82,16375.20 ,27.23,25,13
4-Jan-16,16264.17,16521.10 ,25.14,24,11
4-Jan-16,16330.65,16545.90 ,34.20,23,10
4-Jan-16,16352.92,16496.10 ,34.93,23,9
4-Jan-16,16325.36,16287.70 ,35.05,23,8
4-Jan-16,16359.8,16227.60 ,35.66,23,8
4-Jan-16,16348.29,16166.70 ,39.54,24,8
4-Jan-16,16623.64,16430.70 ,45.70,22,7
4-Jan-16,17683.92,17654.20 ,51.05,21,6
4-Jan-16,18862.41,18892.40 ,68.34,19,5
4-Jan-16,18881.48,18765.80 ,68.91,17,2
4-Jan-16,18523.61,18353.00 ,59.30,15,1
4-Jan-16,17958.02,17769.30 ,58.91,14,0
4-Jan-16,16876.24,16594.70 ,51.78,13,-1
4-Jan-16,15529.27,15283.60 ,40.92,12,-2
4-Jan-16,14381.99,14069.90 ,22.07,11,-2
5-Jan-16,13654.19,12819.70 ,80.43,10,-3
5-Jan-16,13325.32,12340.00 ,71.88,8,-4
5-Jan-16,13207.71,12275.00 ,61.91,8,-5
5-Jan-16,13255.67,12277.80 ,43.97,7,-5
5-Jan-16,13696.98,12650.30 ,41.80,7,-5
5-Jan-16,14840.39,13746.90 ,59.99,6,-6
5-Jan-16,16763.2,16193.30 ,157.37,6,-5
5-Jan-16,17706.11,17387.60 ,360.00,6,-5
5-Jan-16,17679.01,17231.10 ,107.45,7,-4
5-Jan-16,17499.32,17085.40 ,93.90,10,-4
5-Jan-16,17307.45,17046.10 ,71.86,14,-4
5-Jan-16,17072.11,16691.80 ,108.82,17,-4
5-Jan-16,16761.28,16365.60 ,98.49,19,-3
5-Jan-16,16636.9,16071.60 ,73.71,22,-3
5-Jan-16,16513.7,15822.10 ,64.14,23,-3
5-Jan-16,16699.87,16058.80 ,54.13,25,-3
5-Jan-16,17698.12,17148.20 ,56.13,25,-3
5-Jan-16,18926.82,18545.20 ,80.46,22,-2
5-Jan-16,18910.65,18468.50 ,78.59,21,-2
5-Jan-16,18540.3,17727.10 ,64.16,20,0
5-Jan-16,17929.53,17130.80 ,53.10,20,0
5-Jan-16,16836.39,15851.00 ,50.14,20,0
5-Jan-16,15423.53,14351.30 ,50.38,18,1
5-Jan-16,14200.7,12843.30 ,49.94,17,2
6-Jan-16,13450.9,12685.90 ,115.40,17,2
6-Jan-16,13092.22,12541.10 ,76.66,17,2
6-Jan-16,12924.43,12333.90 ,61.20,17,1
6-Jan-16,12952.64,12342.50 ,64.43,16,1
6-Jan-16,13339.48,12857.70 ,46.35,17,1
6-Jan-16,14461.76,13804.40 ,51.77,14,1
6-Jan-16,16342.13,15825.70 ,203.09,16,0
6-Jan-16,17311.29,16898.10 ,149.96,15,1
6-Jan-16,17185.75,16316.30 ,75.38,17,2
6-Jan-16,16812.06,16063.20 ,62.52,21,4
