,0,1,2,3,4,5,6,7,8,9,avg
0,11388.921,11274.756,10949.403,11238.222,11169.519,11206.137,11359.713,11218.653,11015.918,11307.442,11212.8684
1,10901.837,10904.611,10648.215,10800.038,10741.646,10821.633,10888.811,11128.634,10784.215,10928.09,10854.773
2,10773.055,11062.348,10519.5625,10691.549,10686.7705,10725.803,10771.966,11187.909,10652.258,10773.542,10784.4763
3,10884.61,10934.898,10455.773,10948.041,10807.068,10744.836,10902.955,11232.606,10417.718,10940.344,10826.8849
4,11402.166,11420.191,10835.694,11172.182,11127.303,11608.842,11464.01,11488.713,11087.305,11327.802,11293.4208
5,12979.635,12245.662,12340.621,12274.231,12378.1,12817.897,12209.512,12699.511,12586.519,12706.238,12523.7926
6,14537.213,13718.021,13859.232,13771.117,13770.816,14060.839,13885.537,14512.133,14035.361,14125.661,14027.593
7,15264.047,14645.26,14409.327,14612.4,14556.758,14519.059,14540.258,15319.826,14972.92,14831.561,14767.1416
8,15356.078,14897.994,14283.723,14613.779,14496.613,14565.901,14515.6,15455.181,14883.39,14794.4,14786.2659
9,15437.924,14894.406,14437.336,14643.08,14487.291,14466.076,14510.37,15275.777,14579.712,14856.779,14758.8751
10,15695.22,14713.004,14687.869,14712.824,14392.481,14425.49,14516.039,15347.0625,14791.637,15101.256,14838.28825
11,15623.984,14947.602,14471.587,14513.176,14658.859,14573.578,14692.982,15523.1,14882.049,15202.445,14908.9362
12,15625.5205,14992.921,14562.019,14416.947,14537.328,14633.699,14488.886,15620.199,14697.175,14987.859,14856.25535
13,15530,14978.613,14259.188,14470.42,14229.898,14648.49,14369.055,15588.693,14863.188,14814.762,14775.2307
14,15496.62,14972.992,14129.172,14380.693,14360.5,14773.019,14327.295,15469.885,14697.952,14776.926,14738.5054
15,15681.749,15548.054,14455.224,14530.102,14854.508,15101.543,14926.774,15676.335,14929.641,15157.434,15086.1364
16,16335.377,16162.395,15190.188,15167.605,15705.07,15709.929,15721.868,16398.89,15308.385,15742.952,15744.2659
17,16785.516,16475.99,15741.969,15886.899,16382.264,16416.023,16308.949,17108.928,15717.525,16472.252,16329.6315
18,16950.467,16505.887,15887.238,15630.102,16352.549,16770.746,16140.283,17313.074,15988.297,16518.873,16405.7516
19,16801.285,16487.8,15590.937,15223.49,16284.993,16157.336,16180.407,16964.29,15756.563,16027.98,16147.5081
20,16220.575,15979.544,14837.365,15037.596,15881.131,15531.594,15565.441,16546.19,15056.924,15804.9375,15646.12975
21,15306.867,15050.975,13933.8125,14162.309,14861.049,14411.688,14680.862,15759.611,14008.563,14813.904,14698.96405
22,14241.398,13835.696,12816.566,13145.448,13805.4375,13573.182,13568.947,14494.416,12890.774,13405.047,13577.69115
23,13014.021,12578.326,12012.258,12159.162,12769.318,12544.967,12351,13072.584,12042.411,12244.242,12478.8289
24,10965.661,10746.27,10824.383,10762.475,10750.239,10768.902,10997.707,10834.631,10723.65,10987.878,10836.1796
25,10468.488,10604.787,10536.735,10589.354,10473.949,10522.698,10614.102,10812.408,10724.079,10680.189,10602.6789
26,10541.232,10890.471,10602.211,10796.344,10575.412,10731.275,10553.812,10957.467,10672.814,10779.29,10710.0328
27,10911.082,11143.823,10874.683,11213.679,11177.853,11268.801,10893.953,11516.5,10927.496,11346.474,11127.4344
28,12140.23,12223.222,12137.126,12386.453,12165.307,12598.607,12257.154,12611.811,12173.012,12430.172,12312.3094
29,13742.391,13241.23,13952.912,13858.892,13564.945,13858.669,13556.543,14012.082,13700.382,13946.666,13743.4712
30,14612.127,14242.982,14561.48,14593.681,14324.635,14640.181,14467.807,14905.57,14566.445,14667.305,14558.2213
31,14874.373,14606.562,14682.449,14640.082,14563.136,14748.23,14647.5625,14915.24,14714.5,14760.463,14715.25975
32,14924.172,14602.9,14870.838,14616.236,14265.27,14715.055,14604.687,15033.387,14819.242,14666.394,14711.8181
33,14887.243,14631.164,14948.15,15099.807,14409.328,14620.016,14461.725,15263.751,14938.439,14845.289,14810.4912
34,14997.219,14593.355,15028.854,14945.865,14230.252,14611.981,14577.279,15284.441,15061.241,15166.095,14849.6582
35,14940.936,14920.121,14555.768,14926.662,14494.561,14828.102,14563.768,15287.947,14867.211,15004.508,14838.9584
36,14851.398,15008.105,14487.906,14572.012,14150.617,14729.086,14486.757,15219.396,14812.492,14826.884,14714.4653
37,14819.18,15152.413,14462.2,14697.404,13957.6875,14822.813,14385.422,15246.227,14779.066,14880.195,14720.26075
38,15129.252,15270.027,14939.338,15003.232,14475.447,15050.898,14781.061,15537.337,15059.9,15068.866,15031.5358
39,16109.66,15962.381,15513.451,15760.607,15562.904,15584.385,15735.063,16111.089,15851.959,15801.899,15799.3398
40,16794.305,16586.035,15933.91,16372.964,16134.534,16304.025,16314.213,16767.902,16360.082,16288.35,16385.632
41,16727.213,16816.531,15825.883,15939.967,16368.891,16784.887,16402.016,16915.16,16066.816,16458.996,16430.636
42,16546.95,16476.07,15659.522,15646.796,15992.115,16437.713,16126.771,16616.598,15838.531,16106.744,16144.781
43,16189.827,16041.523,15148.787,15305.465,15773.275,15375.199,15653.662,16087.087,15372.112,15450.815,15639.7752
44,15323.029,15074.707,14104.415,14368.357,14971.607,14471.639,14744.293,15243.41,14552.154,14733.064,14758.6675
45,14288.822,13852.757,12961.223,13281.914,13641.094,13266.394,13628.707,14229.279,13521.924,13626.939,13629.9053
46,13356.906,12709.375,11955.742,12266.439,12609.8125,12381.514,12550.15,13231.031,12434.557,12649.854,12614.53805
47,12432.18,11825.576,11568.129,11753.325,11978.361,11657.627,11814.802,12289.354,11919.517,11861.835,11910.0706
48,10955.242,10428.291,10477.871,10624.448,10374.627,10351.895,10738.299,10647.969,10587.777,10664.989,10585.1408
49,10627.664,10581.871,10435.725,10662.05,10331.303,10298.953,10520.562,10661.581,10754.538,10611.008,10548.5255
50,11234.213,11372.209,10991.767,11114.83,10709.432,11045.916,10738.567,11062.555,10921.713,11262.895,11045.4097
51,12218.117,12156.44,12324.16,12190.654,11815.618,12368.855,11684.989,12402.955,12016.302,12554.199,12173.2289
52,13686.32,13468.949,13662.525,13465.061,13133.678,13853.762,13329.995,13843.197,13479.027,13691.646,13561.416
53,14587.666,14141.982,14523.966,14313.93,14064.818,14503.523,14230.269,14735.317,14402.498,14301.106,14380.5075
54,14784.696,14591.309,14739.309,14286.047,14291.303,14741.85,14139.012,15025.231,14723.529,14413.994,14573.628
55,14912.869,14774.469,14780.971,14398.542,14499.779,14670.32,14155.512,15050.215,14635.262,14710.232,14658.8171
56,15124.763,14941.861,15032.8,14281.703,14391.058,14831.61,14409.415,15366.285,14893.682,14727.854,14800.1031
57,15128.225,14842.823,15123.001,14721.415,14525.254,14850.488,14301.479,15512.779,15189.436,14882.689,14907.7589
58,15159.25,14667.932,15033.393,14386.178,14314.803,14955.367,14505.682,15498.4375,15098.631,14736.436,14835.61095
59,15060.897,14913.275,14674.431,14368.689,14602.497,15010.955,14027.713,15370.662,15012.381,14754.125,14779.5625
60,14919.461,15140.3125,14663.313,14294.689,14331.828,15052.145,14316.851,15306.182,15030.334,14786.887,14784.20025
61,15154.461,15639.311,14910.55,14909.859,14534.985,15454.431,14584.281,15566.467,15079.049,15167.672,15100.1066
62,15737.723,15983.566,15627.816,15522.529,15167.561,15882.029,15475.228,16345.636,15666.496,15639.258,15704.7842
63,16654.27,16559.371,16202.439,16217.553,16053.967,16477.002,16281.265,16666.418,16178.645,16048.875,16333.9805
64,16888.742,16827.254,16037.686,16058.622,16156.338,16631.951,16300.176,16565.137,16240.051,16126.15,16383.2107
65,16472.934,16810.582,15829.592,15288.24,16007.921,16722.332,16119.58,16170.296,15733.533,15869.217,16102.4227
66,16073.515,16222.751,15014.53,14980.625,15590.588,15668.563,15639.518,15692.236,15357.967,15432.997,15567.329
67,15411.977,15399.736,14246.51,14575.076,14739.803,14267.669,14586.04,14866.631,14614.021,14365.43,14707.2893
68,14283.909,14084.972,13090.988,13086.117,13902.303,13208.598,13693.748,13624.933,13503.146,13264.328,13574.3042
69,13393.805,12779.412,12249.673,12389.303,12617.611,12144.711,12737.302,12662.372,12732.994,12481.268,12618.8451
70,12720.785,11913.047,11591.841,11511.649,12007.969,11439.731,11981.07,12020.123,12191.52,11847.182,11922.4917
71,12249.907,11327.286,11470.961,11312.6045,11480.111,11053.684,11557.116,11520.156,11749.228,11439.689,11516.07425
72,10686.471,10489.875,10337.35,10705.928,10220.98,10341.724,10601.418,10917.614,10285.864,10556.137,10514.3361
73,11001.165,11117.132,10723.937,11134.375,10621.37,10941.342,10750.26,11191.443,10775.166,11031.609,10928.7799
74,12430.518,12451.044,12108.586,12138.231,11852.761,12223.192,11876.282,12220.086,12025.241,12305.916,12163.1857
75,13851.145,13458.26,13694.613,13860.186,13109.27,13443.988,13334.779,13897.549,13541.855,13708.244,13589.9889
76,14772.99,14428.633,14306.499,14316.566,13985.65,14619.917,14289.783,14711.199,14411.5625,14420.025,14426.28245
77,14961.441,14606.933,14522.403,14435.916,14229.189,14886.826,14327.99,14859.639,14670.355,14579.221,14607.9913
78,15101.581,14803.737,14670.088,14384.364,14217.775,15054.551,14185.217,15050.127,14701.383,14539.27,14670.8093
79,15321.802,14905.541,14855.125,14769.004,14236.811,15005.458,14399.238,15097.271,14758.679,14848.919,14819.7848
80,15386.771,15100.08,15091.544,14591.881,14362.676,15205.314,14649.758,15294.025,14870.577,14911.521,14946.4147
81,15295.826,14938.76,14973.678,14728.209,14185.587,15127.979,14644.526,15341.602,14991.638,14946.213,14917.4018
