,0,1,2,3,4,5,6,7,8,9,10
0,1038.388,1059.3251,1049.1508,1040.5387,1055.74,1038.8019,1057.6237,1014.2384,1024.6901,1054.3792,1043.28759
1,995.3124,1039.066,1019.63477,1014.1494,1013.4558,1014.86145,1032.0907,1006.14575,1014.2588,1023.0642,1017.2039270000001
2,983.97394,1013.5263,1003.9116,997.6455,999.6781,1000.20496,1017.7641,993.1222,998.13477,1010.1521,1001.8113569999999
3,975.9457,1009.225,991.7827,988.6583,995.7993,995.4893,988.8812,964.19617,986.2982,997.2618,989.353767
4,1021.4032,1048.4792,1026.6772,1028.6177,1019.89087,1024.7549,1040.1305,1003.9967,1010.86816,1032.7477,1025.756613
5,1079.2152,1097.9907,1100.7988,1080.2109,1093.8065,1090.1993,1097.4724,1079.1586,1068.9534,1110.9028,1089.87086
6,1173.5183,1183.8683,1211.7183,1191.093,1188.9822,1180.4816,1190.7333,1168.0215,1169.7838,1184.0898,1184.2290099999998
7,1253.0554,1243.0813,1281.6313,1250.1279,1263.6206,1281.8813,1276.8638,1258.8096,1237.5892,1264.3048,1261.09652
8,1298.2688,1302.5507,1336.7996,1315.3992,1330.5151,1309.5541,1316.3029,1308.431,1276.9637,1315.221,1311.00061
9,1304.8346,1315.3457,1316.2635,1319.1707,1315.9663,1302.1064,1304.1569,1296.5447,1269.0039,1315.3911,1305.8783799999999
10,1277.5798,1282.6478,1278.048,1316.4493,1317.69,1303.9202,1304.0227,1310.8225,1265.1299,1302.306,1295.8616200000001
11,1264.1815,1266.1627,1247.1047,1284.7014,1293.1069,1251.0173,1288.6617,1275.3428,1254.3467,1255.176,1267.9801699999998
12,1260.443,1267.3837,1234.2483,1274.5103,1275.1376,1233.0745,1266.8516,1271.2074,1235.3971,1264.0674,1258.23209
13,1221.9141,1257.7356,1254.8281,1264.237,1258.9626,1238.8428,1270.6824,1252.1741,1227.6067,1251.124,1249.8107400000001
14,1234.8271,1252.0975,1253.6571,1257.455,1249.9692,1234.1631,1257.8169,1220.2278,1234.4805,1267.6313,1246.23255
15,1256.5017,1287.8318,1284.2385,1281.1921,1284.8463,1271.103,1304.362,1234.6068,1272.6052,1290.1995,1276.74869
16,1350.3044,1335.8821,1347.0083,1336.8976,1321.9639,1321.2925,1363.5889,1283.5007,1334.3787,1327.741,1332.2558099999999
17,1389.9607,1370.186,1371.2563,1394.9319,1364.5547,1380.6278,1393.8209,1363.2393,1374.9791,1364.7437,1376.83004
18,1396.2775,1385.2844,1383.687,1384.2681,1372.4451,1385.1458,1391.2692,1353.5259,1400.4805,1365.9604,1381.83439
19,1356.657,1350.5984,1317.4618,1337.3491,1347.5034,1370.9646,1351.9966,1327.3679,1354.6562,1349.6616,1346.4216599999997
20,1285.2604,1281.6399,1271.419,1287.4404,1290.2107,1299.0264,1297.2937,1255.7637,1285.2168,1271.4863,1282.47573
21,1196.9557,1181.0148,1195.5894,1194.2667,1197.7147,1194.5095,1196.3511,1188.5684,1177.5087,1177.7737,1190.02527
22,1109.1967,1092.3596,1097.8049,1099.5372,1099.9592,1100.9053,1107.7322,1074.4541,1078.9027,1078.0334,1093.88853
23,1016.9417,1030.6642,1051.0396,1039.6135,1036.4247,1009.2096,1050.5724,991.4134,993.3429,1000.6669,1021.98889
24,1009.7334,1032.4857,1023.4791,1010.7594,1017.9419,1000.2821,1025.2188,964.23596,999.1489,1031.8436,1011.5128860000001
25,973.4825,1015.55176,1010.333,1000.2407,984.38904,988.96735,1007.0852,958.1995,1004.99365,1012.23785,995.548055
26,973.4215,1003.85187,1002.8471,994.8893,996.07104,989.1395,993.3941,974.7588,991.9855,1009.9895,993.034821
27,991.7636,1032.322,1028.4862,1028.042,1019.2355,1017.47595,1003.7822,978.07916,1011.2283,1038.2395,1014.8654409999999
28,1079.0188,1101.6096,1097.3639,1102.0442,1080.2052,1081.7932,1095.6812,1044.9307,1086.1831,1096.5431,1086.5373000000002
29,1165.4596,1177.9514,1203.7257,1184.157,1179.0171,1168.443,1189.8112,1152.9379,1174.3157,1194.7477,1179.0566299999998
30,1247.6938,1246.8726,1303.301,1266.107,1263.2919,1255.0433,1272.6205,1229.5623,1260.097,1265.8116,1261.0400999999997
31,1283.5173,1288.8086,1320.635,1305.0688,1308.2115,1308.8735,1307.6333,1289.1737,1282.468,1303.8784,1299.82681
32,1289.4553,1301.1235,1335.3345,1325.3894,1324.4995,1300.1744,1324.9745,1306.1658,1272.6035,1308.6783,1308.83987
33,1278.7683,1300.1882,1295.4014,1313.082,1288.025,1277.7141,1298.2231,1272.7838,1244.243,1299.01,1286.7438900000002
34,1267.321,1264.0266,1266.5583,1297.032,1280.5663,1260.1206,1286.8469,1269.8596,1243.7426,1276.915,1271.29889
35,1244.5803,1247.1292,1260.9775,1279.3665,1259.5088,1227.2511,1280.264,1244.9207,1242.3787,1247.3219,1253.36987
36,1251.8024,1256.8475,1234.4741,1275.4395,1244.6948,1211.9531,1259.7114,1248.4597,1225.1775,1250.012,1245.8572
37,1233.2603,1258.64,1244.3938,1264.1606,1254.3179,1231.9872,1259.1528,1238.9852,1236.5659,1239.7487,1246.12124
38,1271.4329,1271.9666,1285.2003,1295.459,1262.5212,1250.1123,1277.0685,1232.5696,1265.8591,1277.2745,1268.9464
39,1334.2649,1335.833,1332.7947,1333.0205,1312.9026,1304.4908,1364.3438,1277.2217,1332.5015,1315.2578,1324.2631299999998
40,1420.8262,1376.2102,1398.3254,1387.7932,1354.2344,1353.5542,1395.5154,1306.4346,1362.6208,1368.9617,1372.44761
41,1400.7244,1380.0004,1378.3973,1400.6558,1355.6814,1382.285,1391.3564,1351.9385,1371.7815,1370.0859,1378.2906600000001
