,0,1,2,3,4,5,6,7,8,9,avg
0,1056.4312,1049.0698,1043.8575,1044.8269,1049.2144,1047.5884,1036.4551,1041.9546,1043.5973,1042.3899,1045.53851
1,1034.9265,1009.75323,1016.11255,1021.18115,1026.643,1003.0747,1003.32245,1019.83307,1016.719,1010.5513,1016.211695
2,1001.4474,1001.43945,1004.5741,1017.3887,1013.8533,985.76825,1000.90674,992.6411,1008.0592,1004.1295,1003.020774
3,1009.75977,1016.3546,1016.32446,1027.7434,1001.1084,979.2456,1001.1428,998.64154,1011.29987,1010.855,1007.247544
4,1020.33484,1033.5675,1021.4595,1057.3425,1049.2128,990.8248,1021.7994,1024.5339,1038.7745,1028.8943,1028.674404
5,1104.3403,1106.7273,1105.855,1131.5978,1108.1199,1088.2369,1102.0789,1086.5564,1111.0858,1088.9221,1103.35204
6,1208.5524,1172.2076,1193.0848,1231.0176,1218.4642,1168.781,1213.126,1165.7603,1202.0317,1160.301,1193.33266
7,1273.7373,1266.4584,1266.0221,1315.3833,1285.3285,1243.1191,1290.4641,1255.1997,1286.8542,1255.9103,1273.8477
8,1317.9825,1320.9282,1306.2649,1353.7568,1307.7227,1283.7712,1325.407,1324.8228,1317.7063,1334.4811,1319.28435
9,1329.5383,1329.0933,1312.8998,1358.3264,1316.3545,1268.8962,1333.6882,1331.5906,1316.6725,1336.5503,1323.36101
10,1317.2427,1306.0839,1307.4799,1339.565,1300.7225,1242.9296,1318.7563,1321.5262,1305.6475,1325.0044,1308.4958
11,1311.5244,1284.4109,1254.9044,1313.669,1279.0242,1243.8792,1297.2692,1280.3601,1271.5085,1305.8083,1284.23582
12,1291.139,1265.9314,1260.1694,1296.1133,1272.3763,1226.2788,1265.929,1277.0664,1240.3594,1291.9148,1268.72778
13,1289.0386,1257.4895,1243.5767,1278.2422,1263.1532,1200.9114,1257.8279,1263.93,1237.3751,1276.3097,1256.78543
14,1288.5071,1261.1519,1219.3396,1271.4485,1267.3875,1229.2693,1258.5261,1248.0015,1235.0623,1267.7413,1254.64351
15,1322.8833,1308.9617,1286.705,1319.3293,1298.8655,1274.8638,1303.2737,1291.7351,1290.4917,1307.5435,1300.46526
16,1393.5065,1359.0159,1339.9753,1389.643,1372.5886,1359.3918,1368.8179,1373.8237,1360.9233,1364.696,1368.2382
17,1424.1373,1394.1265,1404.6436,1436.5217,1407.4366,1422.553,1411.7832,1414.5164,1427.2142,1420.5496,1416.34821
18,1423.8789,1412.946,1386.3679,1409.8633,1422.388,1402.1179,1406.092,1404.574,1421.4714,1390.9509,1408.06503
19,1390.491,1358.1653,1341.9259,1392.2006,1368.0857,1345.6993,1366.2361,1354.2188,1377.4614,1353.0964,1364.75805
20,1303.9939,1278.1411,1276.6351,1314.3721,1301.9229,1295.6805,1287.3396,1279.3137,1315.4734,1313.5629,1296.64352
21,1207.915,1195.1738,1192.8491,1216.3513,1182.4011,1185.1323,1198.6012,1201.6985,1209.74,1204.5363,1199.43986
22,1108.9298,1098.1946,1094.8406,1104.4995,1105.9523,1081.5763,1092.8933,1103.8185,1127.4487,1126.5737,1104.47273
23,1037.5732,1016.8131,1028.885,1034.6246,1039.7717,1016.3407,1012.07275,1026.6418,1024.3262,1036.6304,1027.367945
