Date,RT_Demand,Hr_End,DA_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point,week,day,month,d_1,w_1
1-Jan-16,1102.71,1,933.9,39.83,40.79,0.02,-0.98,32.67,33.51,0,-0.84,35,30,5,1,1,1125,967
1-Jan-16,1056.04,2,897.3,35.3,36.3,0.02,-1.02,34.42,35.38,0,-0.96,33,28,5,1,1,1090,923
1-Jan-16,1026.56,3,907.2,30,30.83,0.02,-0.85,29.89,30.73,0,-0.84,34,27,5,1,1,1072,905
1-Jan-16,1015.98,4,913.3,29.49,30.29,0,-0.8,17.98,18.58,0,-0.6,33,26,5,1,1,1071,897
1-Jan-16,1018.52,5,933.8,29.56,30.4,0,-0.84,8.64,8.94,0,-0.3,32,26,5,1,1,1085,908
1-Jan-16,1058.35,6,1016.8,30.95,31.68,0,-0.73,17.61,18.14,0,-0.53,32,26,5,1,1,1158,955
1-Jan-16,1110.86,7,1061.8,36.37,36.73,0,-0.36,30.39,31.03,0,-0.64,31,25,5,1,1,1293,1039
1-Jan-16,1168.63,8,1105.4,41.82,42.26,0,-0.44,14.88,15.14,0,-0.26,32,25,5,1,1,1380,1129
1-Jan-16,1235.29,9,1173.1,40.83,41.4,0,-0.57,25.89,26.38,0,-0.49,31,24,5,1,1,1430,1205
1-Jan-16,1308.08,10,1253.2,41.67,42.52,0,-0.85,28.79,29.29,0,-0.5,34,25,5,1,1,1463,1239
1-Jan-16,1359.45,11,1265.4,42.09,42.92,0,-0.83,24.79,25.24,0,-0.45,37,25,5,1,1,1472,1230
1-Jan-16,1371.26,12,1256.4,42.52,43.57,0,-1.05,33.83,34.51,0,-0.68,38,26,5,1,1,1465,1214
1-Jan-16,1364.03,13,1226.3,41.99,42.81,0,-0.82,34.8,35.55,0,-0.75,40,24,5,1,1,1428,1183
1-Jan-16,1352.68,14,1196.2,42.09,42.92,0,-0.83,38.33,39.15,0,-0.82,40,25,5,1,1,1402,1147
1-Jan-16,1343.91,15,1161.1,42,42.95,0,-0.95,35.39,36.25,0,-0.86,39,25,5,1,1,1391,1124
1-Jan-16,1371.25,16,1182.1,46,47.44,0,-1.44,34.47,35.25,0,-0.78,39,25,5,1,1,1432,1127
1-Jan-16,1461.32,17,1385.4,46.94,47.7,0,-0.76,35.31,36.04,0,-0.73,38,25,5,1,1,1528,1206
1-Jan-16,1517.88,18,1429.8,63.29,64.5,0,-1.21,35.5,36.18,0,-0.68,38,25,5,1,1,1557,1240
1-Jan-16,1480.54,19,1432.9,51.39,52.41,0,-1.02,48.41,49.6,0,-1.19,37,25,5,1,1,1500,1232
